Site;Context;Horizon;Number of sherds;Decor 1;Decor 2;Decor 3;Decor 4;Decor5;Decor6;;;;;;;;;;;;;;;
TOG2;46;;3;PFR1;;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;CR4;VPR;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;RSO;CH;VPR;blackened;;;;;;;;;;;;;;;;;
TOG2;46;;1;RSO;MCH;PA3;;;;;;;;;;;;;;;;;;
TOG2;46;;1;Plain;CR4;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;P-R-W;CH;VPR;;;;;;;;;;;;;;;;;;
TOG2;46;;1;VPR;blackened;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;Plain;CR4;blackened;;;;;;;;;;;;;;;;;;
TOG2;46;;1;CR4;blackened;;;;;;;;;;;;;;;;;;;
TOG2;46;;2;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;CR6;P-R;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;CR4;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;46;;1;Plain;CR4;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;CR4;SI1;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;RSO;CH;VPR;;;;;;;;;;;;;;;;;;
TOG2;46;;4;P-R-W;MCH;VPR;RSO?;;;;;;;;;;;;;;;;;
TOG2;46;;1;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;CR4;P-R-W;;;;;;;;;;;;;;;;;;;
TOG2;47;;2;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;47;;1;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;47;;7;rso;;;;;;;;;;;;;;;;;;;;
TOG2;47;;1;rso;ch;cr4;;;;;;;;;;;;;;;;;;
TOG2;47;;2;rso;ch;cr4 (geometric);p-w;;;;;;;;;;;;;;;;;
TOG2;47;;2;cr8?;;;;;;;;;;;;;;;;;;;;
TOG2;49;;14;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;49;;1;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;49;;2;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;49;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;49;;2;plain;;;;;;;;;;;;;;;;;;;;
TOG2;49;;4;rso;ch;;;;;;;;;;;;;;;;;;;
TOG2;49;;1;rso;;;;;;;;;;;;;;;;;;;;
TOG2;49;;4;rso;ch;vpr;;;;;;;;;;;;;;;;;;
TOG2;49;;1;rso;mch;si4;vpr;;;;;;;;;;;;;;;;;
TOG2;49;;3;rso;mch;p-w-l;si4;vpr;;;;;;;;;;;;;;;;
TOG2;49;;1;vpr;si4;p-r-geo;;;;;;;;;;;;;;;;;;
TOG2;49;;1;rso;ch;vpr;si4;;;;;;;;;;;;;;;;;
TOG2;49;;1;vpr;si4;;;;;;;;;;;;;;;;;;;
TOG2;49;;1;rough;si4;cr4;;;;;;;;;;;;;;;;;;
TOG2;49;;1;cr4;vpr;;;;;;;;;;;;;;;;;;;
TOG2;49;;1;vpr;p-r;;;;;;;;;;;;;;;;;;;
TOG2;50;;80;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;50;;6;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;rso;;;;;;;;;;;;;;;;;;;;
TOG2;50;;5;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;50;;2;rough;;;;;;;;;;;;;;;;;;;;
TOG2;50;;4;Plain;;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;rso;ch;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;Plain;rso int;;;;;;;;;;;;;;;;;;;
TOG2;50;;2;rso;MCH;cr4;;;;;;;;;;;;;;;;;;
TOG2;50;;1;rso;ch;cr4;blackened;;;;;;;;;;;;;;;;;
TOG2;50;;1;rso;cr4;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;p-r-l;cr4;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;cr4;p-w;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;vpr;p-r-t;si4;;;;;;;;;;;;;;;;;;
